age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no
55,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no
61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,no
28,blue-collar,married,primary,no,324,yes,no,unknown,5,may,175,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,1,no,no,unknown,5,may,669,3,-1,0,unknown,no
34,management,married,tertiary,no,46,yes,no,unknown,5,may,39,4,-1,0,unknown,no
40,blue-collar,married,secondary,no,211,yes,no,unknown,5,may,216,4,-1,0,unknown,no
48,technician,married,secondary,no,141,yes,yes,unknown,6,may,424,1,-1,0,unknown,no
36,entrepreneur,married,tertiary,no,1169,yes,no,unknown,6,may,168,2,-1,0,unknown,no
39,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,262,1,-1,0,unknown,no
54,services,married,secondary,yes,0,yes,no,unknown,6,may,138,3,-1,0,unknown,no
38,blue-collar,married,secondary,no,384,yes,no,unknown,6,may,1906,3,-1,0,unknown,no
40,blue-collar,married,primary,yes,0,yes,no,unknown,6,may,64,2,-1,0,unknown,no
40,blue-collar,divorced,primary,no,369,no,no,unknown,6,may,79,2,-1,0,unknown,no
55,technician,married,secondary,no,0,no,no,unknown,6,may,160,3,-1,0,unknown,no
55,technician,single,tertiary,no,92,yes,no,unknown,7,may,118,3,-1,0,unknown,no
37,services,single,secondary,no,-196,yes,no,unknown,7,may,207,1,-1,0,unknown,no
37,admin.,single,secondary,no,245,yes,yes,unknown,7,may,732,2,-1,0,unknown,yes
36,services,single,secondary,no,342,yes,no,unknown,7,may,142,1,-1,0,unknown,no
38,admin.,married,secondary,no,8,yes,no,unknown,7,may,125,1,-1,0,unknown,no
32,services,married,secondary,no,0,yes,yes,unknown,7,may,255,2,-1,0,unknown,no
28,blue-collar,married,secondary,no,225,yes,yes,unknown,7,may,866,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,667,yes,no,unknown,7,may,228,3,-1,0,unknown,no
44,blue-collar,single,unknown,no,2167,yes,no,unknown,7,may,1273,1,-1,0,unknown,no
59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,unknown,no
56,management,divorced,tertiary,no,177,yes,no,unknown,8,may,1040,1,-1,0,unknown,no
37,technician,single,unknown,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no
26,blue-collar,married,secondary,no,2770,yes,no,unknown,8,may,141,1,-1,0,unknown,no
54,services,married,secondary,no,841,yes,no,unknown,8,may,284,4,-1,0,unknown,no
42,admin.,married,secondary,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,yes
30,services,married,secondary,no,80,yes,no,unknown,8,may,185,2,-1,0,unknown,no
27,technician,single,secondary,no,584,yes,no,unknown,8,may,192,2,-1,0,unknown,no
31,blue-collar,married,secondary,no,-13,yes,no,unknown,9,may,260,3,-1,0,unknown,no
41,blue-collar,married,primary,no,406,yes,no,unknown,9,may,2462,1,-1,0,unknown,no
29,blue-collar,married,primary,yes,-43,yes,no,unknown,9,may,484,1,-1,0,unknown,no
30,blue-collar,married,secondary,no,-2,yes,no,unknown,9,may,136,2,-1,0,unknown,no
23,student,single,secondary,no,318,yes,no,unknown,9,may,545,2,-1,0,unknown,no
27,admin.,single,secondary,no,662,yes,no,unknown,9,may,544,1,-1,0,unknown,no
39,management,married,tertiary,no,183,yes,no,unknown,9,may,324,2,-1,0,unknown,no
29,services,single,secondary,no,262,yes,no,unknown,9,may,134,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown,yes
30,services,married,secondary,no,0,yes,no,unknown,9,may,20,1,-1,0,unknown,no
25,admin.,single,secondary,no,61,yes,no,unknown,9,may,345,9,-1,0,unknown,no
29,admin.,single,secondary,no,356,yes,no,unknown,9,may,106,1,-1,0,unknown,no
34,entrepreneur,divorced,tertiary,no,338,yes,no,unknown,9,may,162,2,-1,0,unknown,no
54,management,married,tertiary,no,154,no,no,unknown,9,may,155,3,-1,0,unknown,no
48,blue-collar,married,primary,no,418,yes,no,unknown,9,may,102,3,-1,0,unknown,no
31,management,married,tertiary,no,713,yes,no,unknown,9,may,1534,2,-1,0,unknown,no
49,management,divorced,tertiary,yes,0,yes,no,unknown,12,may,345,2,-1,0,unknown,no
45,admin.,married,secondary,no,171,yes,no,unknown,12,may,539,1,-1,0,unknown,no
59,retired,married,secondary,no,434,yes,no,unknown,12,may,63,3,-1,0,unknown,no
29,blue-collar,married,secondary,no,-28,yes,no,unknown,12,may,393,1,-1,0,unknown,no
43,blue-collar,married,primary,no,0,yes,no,unknown,12,may,3,1,-1,0,unknown,no
32,blue-collar,married,primary,no,1064,yes,no,unknown,12,may,326,1,-1,0,unknown,no
25,technician,single,secondary,no,276,yes,no,unknown,12,may,268,4,-1,0,unknown,no
42,management,married,secondary,no,-189,yes,no,unknown,12,may,247,2,-1,0,unknown,no
23,student,single,tertiary,no,250,yes,no,unknown,12,may,166,2,-1,0,unknown,no
46,blue-collar,married,primary,no,633,yes,no,unknown,12,may,236,10,-1,0,unknown,no
33,self-employed,married,primary,no,1862,yes,no,unknown,12,may,65,1,-1,0,unknown,no
31,admin.,single,secondary,no,98,yes,yes,unknown,12,may,159,3,-1,0,unknown,no
25,blue-collar,single,primary,no,17,yes,no,unknown,13,may,97,2,-1,0,unknown,no
34,admin.,married,secondary,no,3185,yes,no,unknown,13,may,520,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,2577,yes,no,unknown,13,may,611,2,-1,0,unknown,no
