row_id,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
12,3.075,52.0,5.3226,1.0128,1098.0,2.3462,37.85,-122.26,2.135
18,1.9911,50.0,5.3437,1.0859,990.0,2.3628,37.84,-122.26,1.587
48,0.9506,40.0,3.9,1.2188,423.0,2.6438,37.82,-122.26,1.875
51,1.5045,43.0,4.5897,1.1204,1061.0,2.6069,37.82,-122.27,0.938
74,2.483,20.0,6.2782,1.2105,290.0,2.1805,37.81,-122.29,1.375
129,6.0666,30.0,6.4461,1.0087,844.0,2.4606,37.84,-122.2,3.115
134,8.2049,28.0,6.9789,0.9684,463.0,2.4368,37.83,-122.19,3.352
230,4.1739,40.0,4.5106,1.0894,667.0,2.8383,37.79,-122.2,1.696
249,2.0801,44.0,3.3899,1.0384,1700.0,3.4343,37.78,-122.22,1.319
257,1.8039,42.0,3.5437,0.9658,900.0,3.4221,37.77,-122.19,0.923
295,1.871,31.0,5.3628,1.1792,1360.0,3.0088,37.77,-122.17,0.907
308,3.2552,51.0,4.8105,1.0753,1173.0,2.6781,37.77,-122.18,1.201
321,1.9479,26.0,4.2673,0.9802,984.0,3.2475,37.76,-122.19,0.858
335,1.8438,35.0,4.6239,1.156,323.0,2.9633,37.74,-122.18,0.905
385,3.3333,49.0,5.4364,1.0085,576.0,2.4407,37.9,-122.29,2.768
439,2.5682,52.0,4.5,1.1226,218.0,2.0566,37.85,-122.29,1.2
477,2.5417,49.0,4.9565,1.0507,924.0,2.2319,37.86,-122.27,1.827
575,3.1972,20.0,3.546,1.1196,583.0,1.7883,37.75,-122.28,1.0
613,4.6042,51.0,6.6641,1.0254,922.0,2.3461,37.73,-122.14,2.519
619,3.25,46.0,4.9724,1.0805,925.0,2.1264,37.73,-122.17,1.775
624,3.375,45.0,5.3778,1.0889,519.0,3.8444,37.71,-122.18,1.575
644,6.9096,33.0,7.3926,0.9926,686.0,2.5407,37.73,-122.13,3.418
722,3.0962,38.0,4.4475,1.0325,1061.0,2.6525,37.68,-122.1,1.809
723,2.9564,34.0,4.052,0.9934,2479.0,2.7453,37.67,-122.1,1.505
752,3.2417,28.0,4.6987,1.1843,1198.0,1.9199,37.67,-122.07,2.108
763,2.1382,37.0,4.5698,0.9977,1349.0,3.087,37.66,-122.08,1.666
775,4.5417,25.0,5.0659,0.986,1185.0,2.3653,37.65,-122.1,1.944
794,3.3479,30.0,4.7323,1.1258,4065.0,3.6523,37.64,-122.08,1.821
798,3.9338,36.0,4.9125,0.8312,463.0,2.8938,37.64,-122.08,1.827
807,4.7109,35.0,5.92,1.0057,1001.0,2.86,37.62,-122.03,1.987
816,4.2857,35.0,4.8595,0.9676,455.0,2.4595,37.62,-122.04,1.904
821,3.8625,12.0,5.2064,1.0659,3388.0,2.6284,37.63,-122.06,2.089
841,4.235,16.0,5.1155,1.0282,1367.0,3.8507,37.59,-122.08,1.563
845,6.0661,16.0,5.9925,0.8955,1117.0,4.1679,37.58,-122.07,2.47
886,3.1326,17.0,3.8335,1.0269,3386.0,2.5288,37.54,-121.98,2.208
888,8.3996,15.0,7.9468,1.0476,2412.0,3.3782,37.56,-121.94,4.429
